Reksadana,Jenis,Resiko,Price,1M,YTD,1Y,3Y,AUM/VAL
Trimegah Dana Tetap Syariah,Reksa Dana Obligasi,Sedang,Rp1.381,1.12%,7.37%,8.39%,19.25%,0.84T
Trimegah FTSE Indonesia Low Volatility Factor Index,Reksa Dana Saham ,Tinggi,Rp1.195,-5.90%,-7.35%,-2.23%,13.81%,135.36B
Trimegah Kas Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.415,0.45%,4.49%,5.26%,13.49%,1.55T
Harta Aman Pratama,Saham,Tiggi,Rp101,"-6,80","3,23","-4,95","74,28","10,1M"
Asia Pacific Investama Tbk PT,Saham,Tiggi,Rp42,"-11,11","-33,33","-40,30","-56,04","1,7K"
Argha Karya Prima Ind,Saham,Tiggi,Rp610,"-28,40","-18,24","-13,57","-22,44","16,6K"
Austindo Nusantara Jaya,Saham,Tiggi,Rp740,"2,80","-1,34","2,08","-25,00","264,5K"
Bank Bumi Arta,Saham,Tiggi,Rp700,"-11,49","-12,08","-9,66","-78,38","319,6K"
Bank Maspion Indonesia,Saham,Tiggi,Rp635,"-23,64","8,62","-4,55","-33,78",137K
Bank Ocbc Nisp,Saham,Tiggi,Rp1.355,"-0,73","14,83","20,98","94,96","2,97M"
Bank Of India Indonesia,Saham,Tiggi,Rp3.000,"0,00","140,96","71,43","71,43",0
Bank Qnb Indonesia,Saham,Tiggi,Rp72,"-4,11","-13,58","-13,58","-63,73","958,8K"
Bayu Buana,Saham,Tiggi,Rp1.390,"-3,14","-6,40","-6,71","18,80","263,7K"
Buana Finance,Saham,Tiggi,Rp725,"-3,65","0,00","-15,92","62,56","33,2K"
Delta Djakarta,Saham,Tiggi,Rp2.140,"-14,46","-39,66","-39,66","-45,10","23,7K"
Destinasi Tirta,Saham,Tiggi,Rp270,"3,05","22,73","-6,25","-24,16","150,8K"
Elang Mahkota,Saham,Tiggi,Rp492,"-3,37","-17,29","-15,86","-75,84","28,64M"
Enseval Putra,Saham,Tiggi,Rp2.420,"-2,43","-6,95","-7,66","-5,49","32,7K"
Equity Dev Inv,Saham,Tiggi,Rp55,"-13,11","-13,11","-17,19","-69,65","198,8K"
Eratex Djaja,Saham,Tiggi,Rp103,"0,00","-57,20","-75,72","-46,84","1,7M"
Ever Shine Textile,Saham,Tiggi,Rp47,"-11,54","-8,00","-8,00","-71,07","84,2K"
Fast Food Indonesia,Saham,Tiggi,Rp326,"-28,32","-56,22","-57,09","-67,60","6,4K"
Fks Multi Agro,Saham,Tiggi,Rp10.950,"1,39","98,19","100,92","26,59","12,6K"
Golden Energy Mines,Saham,Tiggi,Rp10.400,"-11,69","75,86","77,39","144,60","99,5K"
Indo Kordsa,Saham,Tiggi,Rp6.600,"10,17","8,33","11,11","-18,50","39,9K"
Indo Straits,Saham,Tiggi,Rp242,"-9,38","-30,54","-45,02","-39,58",103K
Indorama Synthetics,Saham,Tiggi,Rp2.660,"-17,87","-14,10","-15,48","-44,26","12,7K"
Jakarta Kyoei,Saham,Tiggi,Rp60,"0,00","0,00","0,00","0,00",0
Kabelindo Murni,Saham,Tiggi,Rp310,"-1,27","18,32","13,97","33,62","13,7K"
Kedaung Indah Can,Saham,Tiggi,Rp122,"-22,37","-12,59","-12,59","-67,04","324,5K"
Kokoh Inti Arebama,Saham,Tiggi,Rp69,"-6,76","-14,81","-9,21","-58,93","127,1K"
Limas Indonesia Makmur,Saham,Tiggi,Rp50,"0,00","0,00","0,00","-46,81",0
Lionmesh Prima,Saham,Tiggi,Rp420,"11,11","-4,55","-6,67","-40,85",0
Lotte Chemical Titan PT,Saham,Tiggi,Rp198,"-6,67","-0,51","0,00","-15,52","737,2K"
Mandala Multifinance,Saham,Tiggi,Rp3.350,"39,28","14,73","17,96","214,55",0
Maskapai Reasuransi,Saham,Tiggi,Rp1.005,"-1,00","-52,40","-43,91","-74,81",1K
Metro Realty,Saham,Tiggi,Rp635,"188,64","148,05","40,49","104,84","269,2K"
Metropolitan Kentjana,Saham,Tiggi,Rp26.000,"-4,78","-6,53","-12,78","2,01",18K
Multifiling Mitra,Saham,Tiggi,Rp1.250,"30,89","103,25","76,06","23,76",300
Onix Capital,Saham,Tiggi,Rp159,"0,00","0,00","0,00","0,00",0
Pembangunan Graha,Saham,Tiggi,Rp199,"1,61","26,85","12,50","-13,30","49,9K"
PT Temas Tbk,Saham,Tiggi,Rp144,"-5,41","-10,26","-8,50","83,01","5,47M"
Panasia Indo Resources,Saham,Tiggi,Rp120,"0,00","0,00","0,00","0,00",0
Pelayaran Nelly,Saham,Tiggi,Rp466,"0,87","-4,94","-7,60","68,61","1,47M"
Pikko Land Development,Saham,Tiggi,Rp35,"0,00","-30,00","-32,69","-65,00","137,7K"
Pioneerindo Gourmet,Saham,Tiggi,Rp920,"-10,00","-65,25","-80,31","-81,33","9,4K"
Plaza Indonesia Realty,Saham,Tiggi,Rp2.600,"-1,89","-3,70","-9,72","6,12",200
Pool Advista Indonesia,Saham,Tiggi,Rp13,"-7,14","-74,00","-74,00","-74,00",200
Prasidha Aneka Niaga,Saham,Tiggi,Rp81,"-5,95","-12,22","-44,76","-54,34","117,1K"
Provident Agro,Saham,Tiggi,Rp400,"-5,71","-34,37","-6,78","-17,15","55,9K"
Pudjiadi & Sons,Saham,Tiggi,Rp1.360,"199,56","216,28","246,94","109,23","604,5K"
Reliance Securities,Saham,Tiggi,Rp458,"-1,33","-26,00","-9,76","-3,48",900
