Reksadana,Jenis,Resiko,Price,1M,1Y,3Y,AUM/VAL
Hotel Sahid Jaya,Saham,Tiggi,Rp950,0.00,0.00,0,"9,5K"
PT MNC Energy Investments Tbk,Saham,Tiggi,Rp44,110.07,0.00,0,"641,6K"
Jaya Real Property,Saham,Tiggi,Rp650,-8.25,2.30,-32.58,502K
Kimia Farma Persero,Saham,Tiggi,Rp640,0.00,0.00,0,"503,9K"
Modernland Realty Ltd,Saham,Tiggi,Rp59,-25.00,0.00,-88,"13,38M"
Multi Bintang Ind,Saham,Tiggi,Rp6.600,0.00,0.00,0,"51,4K"
Multistrada Arah Sarana,Saham,Tiggi,Rp6.200,74.10,0.00,591.43,0
Lotte Chemical Titan PT,Saham,Tiggi,Rp198,-6.67,0.00,-15.52,"737,2K"
Bank Capital Indonesia,Saham,Tiggi,Rp131,-5.76,0.77,-56.62,"643,2K"
Alam Sutera Realty,Saham,Tiggi,Rp166,-31.93,-2.99,-11.96,"46,18M"
Media Nusantara Citra,Saham,Tiggi,Rp304,-13.64,0.00,113.08,"14,52M"
Austindo Nusantara Jaya,Saham,Tiggi,Rp740,2.80,02.08,-25,"264,5K"
Bank Mnc Internasional,Saham,Tiggi,Rp61,-13.24,-3.28,-72.94,"11,91M"
Astra Otoparts,Saham,Tiggi,Rp2.350,-2.93,-15.02,76.43,"1,01M"
Central Proteina,Saham,Tiggi,Rp50,0.00,-5.66,-60.32,"2,55M"
Darya-Varia,Saham,Tiggi,Rp1.635,-4.68,-3.26,-33.47,"21,5K"
Astra Graphia,Saham,Tiggi,Rp880,1.16,-5.41,10.76,"1,15M"
Millennium Pharma,Saham,Tiggi,Rp183,-9.09,-7.89,103.88,"36,82M"
Bank Mestika Dharma,Saham,Tiggi,Rp1.990,-2.50,1.56,-5.34,"34,1K"
Indo Acidatama,Saham,Tiggi,Rp51,-17.70,-7.00,-18.66,"304,2K"
Visi Telekomunikasi,Saham,Tiggi,Rp318,-4.79,-3.47,-30.5,"363,9K"
